id,District,sub_district,CHPs_zone,Community,cycle,registrant,module,training_date,training_venue,trainer,training_topic,ben_id,hhid,gender,phy_state,_parent_index
1,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-01-02,C2-201-5114-01,Male,N/A,82
2,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-48-02,C2-201-5114-48,Male,N/A,82
3,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-31-02,C2-201-5114-31,Male,N/A,82
4,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-43-02,C2-201-5114-43,Male,N/A,82
5,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-41-02,C2-201-5114-41,Male,N/A,82
6,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-13-02,C2-201-5114-13,Male,N/A,82
7,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-51-02,C2-201-5114-51,Male,N/A,82
8,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-28-02,C2-201-5114-28,Male,N/A,82
9,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-04-02,C2-201-5114-04,Male,N/A,82
10,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-47-02,C2-201-5114-47,Male,N/A,82
11,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-48-01,C2-201-5114-48,Female,Breastfeeding,82
12,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-31-01,C2-201-5114-31,Female,Breastfeeding,82
13,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-43-01,C2-201-5114-43,Female,Breastfeeding,82
14,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-41-01,C2-201-5114-41,Female,Breastfeeding,82
15,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-13-01,C2-201-5114-13,Female,Breastfeeding,82
16,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-51-01,C2-201-5114-51,Female,Breastfeeding,82
17,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-04-01,C2-201-5114-04,Female,Breastfeeding,82
18,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-47-01,C2-201-5114-47,Female,Breastfeeding,82
19,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-07-01,C2-201-5114-07,Female,Breastfeeding,82
20,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer huse,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-28-01,C2-201-5114-28,Female,Pregnant,82
21,201-Chereponi,305-Wenchiki,4016-Kablani CHPS,5114-Cherekpiri,2,Vivian Danso ,N1. Agriculture and GFC Introduction,01/05/2024,Cherikpli volunteer house,Vivian Danso,N1. Agriculture and GFC Introduction,C2-201-5114-57-02,C2-201-5114-57,Male,N/A,83
